points,MIN_POINTS,MAX_POINTS,young,name,country,position,club,probability,points_raw,price,popularity,weekday,ID
0,0,0,False,PIOTR GĘBALA,POLSKA,POMOCNIK,GKS TYCHY,0.267973856,0,0.5,0,11,2483
0,0,0,False,MATEUSZ CIAPA,POLSKA,POMOCNIK,MIEDŹ LEGNICA,0.577159951,0,1.2,0,11,2482
0,2,2,False,TOMÁŠ PŘIKRYL,CZECHY,POMOCNIK,ODRA OPOLE,0.405536276,4,1.8,0,11,2480
0,2,2,False,TOMÁŠ PŘIKRYL,CZECHY,POMOCNIK,ODRA OPOLE,0.156839623,4,1.8,0,11,2480
-1.154319901,4,13,False,ADNAN KOVAČEVIĆ,BOŚNIA,OBROŃCA,MIEDŹ LEGNICA,0.577159951,15,1.9,0.01,11,2479
-0.194791483,0,2,False,NICOLAS RAJSEL,SŁOWENIA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,1,1.6,0,11,2478
-0.415126208,4,6,False,JOÃO TAVARES,BRAZYLIA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,8,1.6,0,11,2477
-0.555972600,2,3,False,JAKUB MYSZOR,POLSKA,POMOCNIK,RUCH CHORZÓW,0.555972600,4,1.6,0,11,2476
-0.194791483,0,1,False,LUCAS RAMOS,BRAZYLIA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,0,1.7,0,11,2475
0,0,0,False,MARCIN WIĘCKOWSKI,POLSKA,OBROŃCA,WISŁA PŁOCK,0.297419925,0,0.9,0,11,2474
0,3,5,False,MOHAMED MEZGHRANI,BELGIA,OBROŃCA,RUCH CHORZÓW,0.555972600,8,1.6,0,11,2473
0,0,0,False,OSKAR KLAT,POLSKA,BRAMKARZ,WISŁA PŁOCK,0.297419925,0,0.5,0,11,2472
0,3,2,False,MARCEL RUSZEL,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,5,1.5,0,11,2471
0.535947712,0,5,False,JULIAN KEIBLINGER,POLSKA,OBROŃCA,GKS TYCHY,0.267973856,7,1.6,0,11,2470
-2.618327421,9,4,False,FILIP KOCABA,POLSKA,POMOCNIK,ARKA GDYNIA,0.654581855,9,1,0,11,2469
0.922336586,0,2,False,BEKZOD AHMEDOV,UZBEKISTAN,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,4,1.4,0,11,2468
1.861499003,8,8,False,IGOR STRZAŁEK,POLSKA,POMOCNIK,BRUK-BET TERMALICA NIECIECZA,0.465374751,20,1.6,0,11,2467
0,0,0,False,FABIAN BLEJWAS,POLSKA,OBROŃCA,STAL RZESZÓW,0.464052288,0,0.5,0,11,2466
0.861306571,0,2,False,JORGE ALASTUEY,HISZPANIA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,4,1.7,0,11,2465
0.584374450,0,2,False,MIŁOSZ KUROWSKI,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,5,1.4,0,11,2464
0,0,0,False,BARTOSZ BRZĘK,POLSKA,OBROŃCA,GKS TYCHY,0.267973856,0,0.5,0,11,2463
0,0,0,False,MARCEL MASÁR,SŁOWACJA,NAPASTNIK,GÓRNIK ŁĘCZNA,0.461168293,0,1.5,0,11,2462
0,0,0,False,MICHAŁ KACZMAR,POLSKA,NAPASTNIK,MIEDŹ LEGNICA,0.577159951,0,0.7,0,11,2461
0,0,0,False,KACPER JÓŹWICKI,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,0,1.4,0,11,2460
0,0,0,False,YANNICK WOUDSTRA,NIEMCY,NAPASTNIK,GKS TYCHY,0.267973856,0,1.6,0,11,2459
2.326873753,0,6,False,NOAH MROSEK,POLSKA,OBROŃCA,BRUK-BET TERMALICA NIECIECZA,0.465374751,11,1.4,0,11,2458
0.940844161,0,6,False,ADRIAN KAZIMIERCZAK,POLSKA,NAPASTNIK,ZNICZ PRUSZKÓW,0.313614720,9,0.5,0.01,11,2456
1.564309381,0,6,False,ADRIAN KAZIMIERCZAK,POLSKA,NAPASTNIK,ZNICZ PRUSZKÓW,0.521436460,9,0.5,0.01,11,2456
3.462959704,0,6,False,AMAR DRINA,BOŚNIA,OBROŃCA,MIEDŹ LEGNICA,0.577159951,12,1.7,0,11,2455
6.049871758,0,6,False,GABRIEL ISIK,NIEMCY,OBROŃCA,BRUK-BET TERMALICA NIECIECZA,0.465374751,19,1.8,0,11,2454
0,0,0,False,SZYMON SIKORSKI,POLSKA,OBROŃCA,ODRA OPOLE,0.405536276,0,0.5,0,11,2453
0,0,0,False,SZYMON SIKORSKI,POLSKA,OBROŃCA,ODRA OPOLE,0.156839623,0,0.5,0,11,2453
0,0,0,False,MIŁOSZ KACZOR,POLSKA,POMOCNIK,STAL RZESZÓW,0.464052288,0,0.7,0,11,2452
0,0,1,False,BARTOSZ TOMASZEWSKI,POLSKA,OBROŃCA,STAL STALOWA WOLA,0.207563104,1,0.5,0,11,2451
8.182412427,9,7,False,STEFAN FEIERTAG,AUSTRIA,NAPASTNIK,ŁKS ŁÓDŹ,0.430653286,35,1.9,0.14,11,2450
2.982445141,0,7,False,DANIEL VEGA,HISZPANIA,POMOCNIK,POLONIA WARSZAWA,0.271131376,18,1.8,0,11,2449
0,0,2,False,SOLO TRAORÉ,HISZPANIA,NAPASTNIK,GÓRNIK ŁĘCZNA,0.461168293,2,1.5,0,11,2448
0,0,0,False,ANDRZEJ KRAJEWSKI,POLSKA,OBROŃCA,POLONIA WARSZAWA,0.271131376,0,1.4,0,11,2447
0,0,0,False,MATEUSZ CICHOCKI,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,0,1,0,11,2446
0,0,0,False,ISAAC AMOAH,GHANA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,0,1.6,0,11,2445
4.150514637,0,5,False,DAVID OGAGA,NIGERIA,OBROŃCA,GÓRNIK ŁĘCZNA,0.461168293,14,1.7,0,11,2444
4.952830189,0,4,False,FREDERICO DUARTE,PORTUGALIA,POMOCNIK,WISŁA KRAKÓW,0.619103774,12,2,0,11,2443
9.905660377,-10,9,False,TAMÁS KISS,WĘGRY,POMOCNIK,WISŁA KRAKÓW,0.619103774,15,2,0.01,11,2442
0.928104575,0,2,False,ARTUR GAŻA,POLSKA,POMOCNIK,STAL RZESZÓW,0.464052288,4,0.5,0,11,2441
0.194791483,0,2,False,LEON ZIĘTEK,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,3,0.5,0,11,2440
1.363540384,0,2,False,KAMIL KORT,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,9,1.2,0,11,2439
0,0,1,False,BARTOSZ BOROWSKI,POLSKA,NAPASTNIK,WISŁA PŁOCK,0.297419925,1,0.5,0,11,2438
0,0,0,False,HUBERT IDASIAK,POLSKA,BRAMKARZ,ŁKS ŁÓDŹ,0.430653286,0,1.7,0,11,2437
0,0,1,False,KAMIL LIPIŃSKI,POLSKA,POMOCNIK,RUCH CHORZÓW,0.555972600,1,0.5,0,11,2436
8.895561603,0,6,False,SZYMON KARASIŃSKI,POLSKA,OBROŃCA,RUCH CHORZÓW,0.555972600,22,0.8,0.16,11,2435
7.366243850,-10,8,False,MATEUSZ PRUCHNIEWSKI,POLSKA,BRAMKARZ,POGOŃ SIEDLCE,0.230195120,30,1,0.17,11,2434
7.839860981,0,6,False,BRANISLAV SPÁČIL,SŁOWACJA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,23,1.7,0,11,2433
0,0,0,False,DOMINIK STANNY,POLSKA,BRAMKARZ,STAL STALOWA WOLA,0.207563104,0,0.5,0.03,11,2432
3.128618762,0,2,False,MATEUSZ KRÓL,POLSKA,NAPASTNIK,ZNICZ PRUSZKÓW,0.521436460,8,1.6,0,11,2431
1.881688322,0,2,False,MATEUSZ KRÓL,POLSKA,NAPASTNIK,ZNICZ PRUSZKÓW,0.313614720,8,1.6,0,11,2431
7.751759142,0,12,False,ŁUKASZ BOMBA,POLSKA,BRAMKARZ,ŁKS ŁÓDŹ,0.430653286,30,1.3,0.05,11,2430
0,0,1,False,MIŁOSZ SKOWRONEK,POLSKA,OBROŃCA,CHROBRY GŁOGÓW,0.146258133,1,0.8,0.01,11,2429
2.153266428,0,4,False,IVAN MIHALJEVIĆ,CHORWACJA,OBROŃCA,ŁKS ŁÓDŹ,0.430653286,9,1.7,0,11,2428
5.003753402,0,6,False,MARTIN TURK,SŁOWENIA,BRAMKARZ,RUCH CHORZÓW,0.555972600,15,1.8,0.01,11,2427
6.245818433,0,6,False,DANI PACHECO,HISZPANIA,POMOCNIK,WISŁA PŁOCK,0.297419925,27,1.8,0.04,11,2426
3.714622642,0,14,False,ŁUKASZ ZWOLIŃSKI,POLSKA,NAPASTNIK,WISŁA KRAKÓW,0.619103774,20,2,0.03,11,2425
0,0,0,False,BABACAR DIALLO,SENEGAL,OBROŃCA,MIEDŹ LEGNICA,0.577159951,0,1.4,0,11,2424
0,0,0,False,MIŁOSZ KACZMAREK,POLSKA,POMOCNIK,ARKA GDYNIA,0.654581855,0,0.5,0,11,2423
0,0,0,False,KAMIL GRZELAK,POLSKA,POMOCNIK,CHROBRY GŁOGÓW,0.146258133,0,0.5,0,11,2422
0,0,0,False,MARCEL GAWŁOWSKI,POLSKA,BRAMKARZ,CHROBRY GŁOGÓW,0.146258133,0,0.5,0.04,11,2421
0,0,0,False,GRACJAN ANTKOWIAK,POLSKA,POMOCNIK,CHROBRY GŁOGÓW,0.146258133,0,0.7,0,11,2420
0.313679245,9,5,False,OSKAR ZAWADA,POLSKA,POMOCNIK,ODRA OPOLE,0.156839623,16,0.5,0.03,11,2419
0.811072553,9,5,False,OSKAR ZAWADA,POLSKA,POMOCNIK,ODRA OPOLE,0.405536276,16,0.5,0.03,11,2419
0,0,0,False,PAWEŁ MRÓZ,POLSKA,OBROŃCA,ODRA OPOLE,0.405536276,0,0.5,0.03,11,2418
0,0,0,False,PAWEŁ MRÓZ,POLSKA,OBROŃCA,ODRA OPOLE,0.156839623,0,0.5,0.03,11,2418
0,0,0,False,JAN DĘBSKI,POLSKA,POMOCNIK,ODRA OPOLE,0.156839623,0,0.7,0,11,2417
0,0,0,False,JAN DĘBSKI,POLSKA,POMOCNIK,ODRA OPOLE,0.405536276,0,0.7,0,11,2417
0,0,0,False,KACPER BUNIAK,POLSKA,NAPASTNIK,ODRA OPOLE,0.156839623,0,0.5,0.01,11,2416
0,0,0,False,KACPER BUNIAK,POLSKA,NAPASTNIK,ODRA OPOLE,0.405536276,0,0.5,0.01,11,2416
0,0,0,False,TOMASZ PŁANETA,POLSKA,POMOCNIK,BRUK-BET TERMALICA NIECIECZA,0.465374751,0,0.7,0,11,2415
0,0,0,False,OSKAR KLON,POLSKA,BRAMKARZ,WISŁA PŁOCK,0.297419925,0,0.7,0,11,2414
2.075631041,0,2,False,KRYSTIAN PCHEŁKA,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,12,1.3,0,11,2413
0.438774400,0,2,False,ERYK MARCINKOWSKI,POLSKA,OBROŃCA,CHROBRY GŁOGÓW,0.146258133,5,1.4,0,11,2412
2.301951203,0,5,False,JAKUB LUTOSTAŃSKI,POLSKA,NAPASTNIK,POGOŃ SIEDLCE,0.230195120,15,1.5,0,11,2411
0,0,0,False,BARTOSZ KLEBANIUK,POLSKA,BRAMKARZ,ZNICZ PRUSZKÓW,0.313614720,0,1.7,0,11,2410
0,0,0,False,BARTOSZ KLEBANIUK,POLSKA,BRAMKARZ,ZNICZ PRUSZKÓW,0.521436460,0,1.7,0,11,2410
6.245818433,-10,7,False,BOJAN NASTIĆ,BOŚNIA,OBROŃCA,WISŁA PŁOCK,0.297419925,18,1.9,0.04,11,2409
8.922597762,-20,9,False,PRZEMYSŁAW MISIAK,POLSKA,OBROŃCA,WISŁA PŁOCK,0.297419925,19,1.3,0.02,11,2408
2.081939478,0,3,False,KSAWERY KUKUŁKA,POLSKA,OBROŃCA,WISŁA PŁOCK,0.297419925,10,1.2,0.01,11,2407
1.784519552,0,6,False,MACIEJ FAMULAK,POLSKA,POMOCNIK,WISŁA PŁOCK,0.297419925,12,1.6,0,11,2406
4.461298881,0,8,False,ANDRIAS EDMUNDSSON,WYSPY,OBROŃCA,WISŁA PŁOCK,0.297419925,23,1.8,0.01,11,2405
0.594839851,0,3,False,MIŁOSZ BRZOZOWSKI,POLSKA,POMOCNIK,WISŁA PŁOCK,0.297419925,5,1.6,0,11,2404
0,0,0,False,IGNACE ABDELHAMID,BELGIA,POMOCNIK,WISŁA PŁOCK,0.297419925,0,1.9,0,11,2403
19.192216981,-22,8,False,OLIVIER SUKIENNICKI,POLSKA,POMOCNIK,WISŁA KRAKÓW,0.619103774,17,1.6,0.11,11,2402
0,0,2,False,GIÁNNIS KIAKÓS,GRECJA,OBROŃCA,WISŁA KRAKÓW,0.619103774,2,1.8,0.01,11,2401
3.209731319,0,5,False,MACIEJ ŻURAWSKI,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,17,2,0.02,11,2400
2.942253709,0,2,False,FILIP WALUŚ,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,13,1,0.01,11,2399
0.802432830,0,5,False,SZYMON SARBINOWSKI,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,8,1,0,11,2396
-0.534955220,0,2,False,MICHAŁ KOPCZYŃSKI,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,0,1.6,0,11,2395
0.267477610,0,2,False,FILIP JAKUBOWSKI,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,3,1.2,0,11,2394
0,0,0,False,JĘDRZEJ HANUSZCZAK,POLSKA,POMOCNIK,WARTA POZNAŃ,0.267477610,0,0.5,0,11,2393
0,0,0,False,MATEUSZ LECHOWICZ,POLSKA,OBROŃCA,WARTA POZNAŃ,0.267477610,0,0.7,0,11,2391
4.674995601,-20,6,False,WOŁODYMYR KOSTEWYCZ,UKRAINA,OBROŃCA,KOTWICA KOŁOBRZEG,0.194791483,10,1.6,0,11,2390
6.954417859,-10,6,False,JAKUB BARTKOWSKI,POLSKA,OBROŃCA,WARTA POZNAŃ,0.267477610,22,1.8,0.03,11,2389
0,0,0,False,LEO PRZYBYLAK,POLSKA,BRAMKARZ,WARTA POZNAŃ,0.267477610,0,0.9,0,11,2388
0,0,0,False,BORYS OŁENIAK,POLSKA,BRAMKARZ,WARTA POZNAŃ,0.267477610,0,0.8,0,11,2387
8.352941176,10,6,False,TOMASZ BAŁA,POLSKA,NAPASTNIK,STAL RZESZÓW,0.464052288,34,1.5,0.07,11,2386
15.011260205,-10,7,False,SOMA NOVOTHNY,WĘGRY,NAPASTNIK,RUCH CHORZÓW,0.555972600,24,1.8,0.07,11,2385
0,0,0,False,MIKE HURAS,POLSKA,NAPASTNIK,RUCH CHORZÓW,0.555972600,0,1.7,0,11,2384
16.123205405,-10,9,False,DENIS VENTURA,SŁOWACJA,POMOCNIK,RUCH CHORZÓW,0.555972600,28,1.8,0.01,11,2383
10.007506803,-10,7,False,FILIP STARZYŃSKI,POLSKA,POMOCNIK,RUCH CHORZÓW,0.555972600,15,2,0.03,11,2382
5.003753402,0,2,False,JOSÉ ANTONIO NONO,HISZPANIA,POMOCNIK,RUCH CHORZÓW,0.555972600,11,1.8,0.01,11,2381
2.223890401,0,4,False,MATEUSZ CHMAREK,POLSKA,POMOCNIK,RUCH CHORZÓW,0.555972600,8,0.9,0.01,11,2380
8.339589003,-10,2,False,ANDREJ LUKIC,CHORWACJA,OBROŃCA,RUCH CHORZÓW,0.555972600,7,1.7,0.01,11,2379
0,0,2,False,KSAWERY KWIATKOWSKI,POLSKA,OBROŃCA,RUCH CHORZÓW,0.555972600,2,1.2,0,11,2378
16.123205405,-10,6,False,MARTIN KONCZKOWSKI,POLSKA,OBROŃCA,RUCH CHORZÓW,0.555972600,25,1.9,0.14,11,2377
4.880364776,0,9,False,ERJON HOXHALLARI,ALBANIA,OBROŃCA,POLONIA WARSZAWA,0.271131376,27,1.9,0.02,11,2376
0,0,0,False,BARTOSZ FALBIERSKI,POLSKA,POMOCNIK,POLONIA WARSZAWA,0.271131376,0,0.9,0,11,2375
2.038915094,-9,2,False,JORDAN DOMINGUEZ,HISZPANIA,POMOCNIK,ODRA OPOLE,0.156839623,6,1.8,0.01,11,2374
5.271971592,-9,2,False,JORDAN DOMINGUEZ,HISZPANIA,POMOCNIK,ODRA OPOLE,0.405536276,6,1.8,0.01,11,2374
0.811072553,0,3,False,SZYMON MIDA,POLSKA,POMOCNIK,ODRA OPOLE,0.405536276,5,0.5,0.02,11,2373
0.313679245,0,3,False,SZYMON MIDA,POLSKA,POMOCNIK,ODRA OPOLE,0.156839623,5,0.5,0.02,11,2373
19.046278374,0,10,False,BENEDIK MIOC,CHORWACJA,POMOCNIK,MIEDŹ LEGNICA,0.577159951,43,2.1,0.07,11,2372
1.731479852,0,2,False,OLIWIER SZYMONIAK,POLSKA,OBROŃCA,MIEDŹ LEGNICA,0.577159951,5,0.7,0.01,11,2371
0,0,0,False,JAKUB KACZEMBA,POLSKA,OBROŃCA,MIEDŹ LEGNICA,0.577159951,0,0.5,0.01,11,2370
0,0,0,False,KAY TEJAN,HOLANDIA,NAPASTNIK,ŁKS ŁÓDŹ,0.430653286,0,2.5,0.01,11,2369
0,0,0,False,OLIWIER SŁAWIŃSKI,POLSKA,NAPASTNIK,ŁKS ŁÓDŹ,0.430653286,0,1,0.01,11,2368
9.474372284,0,7,False,JĘDRZEJ ZAJĄC,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,29,1.2,0.01,11,2367
8.613065713,0,4,False,MATEUSZ WYSOKIŃSKI,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,24,1.4,0,11,2366
14.211558427,0,8,False,ANTONI MŁYNARCZYK,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,41,1.6,0.04,11,2365
1.722613143,0,3,False,JAN ŁABĘDZKI,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,7,1.1,0,11,2364
0,0,0,False,ALEKSANDER IWAŃCZYK,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,0,1.7,0,11,2363
0,0,0,False,RICARDO GONÇALVES DO NASCIMENTO,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,0,1.8,0,11,2362
3.014573000,0,2,False,HUSEIN BALIĆ,AUSTRIA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,9,1.9,0.02,11,2360
19.379397854,0,10,False,ANDREU ARASA,HISZPANIA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,55,2.1,0.21,11,2359
9.474372284,-22,2,False,ANTONIO MAJCENIĆ,CHORWACJA,OBROŃCA,ŁKS ŁÓDŹ,0.430653286,2,1.8,0.01,11,2358
9.043718999,0,6,False,LEVENT GÜLEN,SZWAJCARIA,OBROŃCA,ŁKS ŁÓDŹ,0.430653286,27,1.9,0.03,11,2356
0,0,0,False,TOMASZ KUCHARSKI,POLSKA,BRAMKARZ,ŁKS ŁÓDŹ,0.430653286,0,0.7,0.01,11,2355
0,0,0,False,MICHAŁ WACHOWICZ,POLSKA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,0,0.5,0,11,2354
0,0,0,False,SEBASTIAN SZCZYTNIEWSKI,POLSKA,OBROŃCA,GÓRNIK ŁĘCZNA,0.461168293,0,1.4,0,11,2353
6.917524395,0,6,False,KAMIL ORLIK,POLSKA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,21,1.4,0.01,11,2352
6.917524395,0,4,False,PATRYK MALAMIS,POLSKA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,19,1.6,0,11,2351
6.456356102,0,6,False,DOMINYKAS BARAUSKAS,LITWA,OBROŃCA,GÓRNIK ŁĘCZNA,0.461168293,20,1.8,0.02,11,2350
8.575163399,-20,3,False,MAMIN SANYANG,GAMBIA,POMOCNIK,GKS TYCHY,0.267973856,15,1.8,0.01,11,2349
4.555555556,20,8,False,MARCEL LUBIK,POLSKA,BRAMKARZ,GKS TYCHY,0.267973856,45,1.7,0.07,11,2348
0.803921569,0,3,False,TOBIASZ KUBIK,POLSKA,POMOCNIK,GKS TYCHY,0.267973856,6,1.4,0,11,2347
4.019607843,0,4,False,MAKSYMILIAN DZIUBA,POLSKA,POMOCNIK,GKS TYCHY,0.267973856,19,1.4,0,11,2346
3.257623254,0,3,False,JAKUB RÓŻYCKI,POLSKA,POMOCNIK,BRUK-BET TERMALICA NIECIECZA,0.465374751,10,0.6,0,11,2345
0,0,0,False,JAKUB MARCINKOWSKI,POLSKA,OBROŃCA,ZNICZ PRUSZKÓW,0.313614720,0,1.3,0,11,2344
0,0,0,False,JAKUB MARCINKOWSKI,POLSKA,OBROŃCA,ZNICZ PRUSZKÓW,0.521436460,0,1.3,0,11,2344
13.495867769,10,7,False,ADRIÁN CHOVAN,SŁOWACJA,BRAMKARZ,BRUK-BET TERMALICA NIECIECZA,0.465374751,46,1.9,0.16,11,2343
12.437055252,0,8,False,HIDE VITALUCCI,WŁOCHY,POMOCNIK,ARKA GDYNIA,0.654581855,27,1.7,0.04,11,2342
11.127891541,20,13,False,JOÃO OLIVEIRA,SZWAJCARIA,POMOCNIK,ARKA GDYNIA,0.654581855,50,2,0.12,11,2341
1.963745566,0,5,False,KAMIL JAKUBCZYK,POLSKA,POMOCNIK,ARKA GDYNIA,0.654581855,8,1.2,0,11,2340
7.200400409,0,13,False,KIKE HERMOSO,HISZPANIA,OBROŃCA,ARKA GDYNIA,0.654581855,24,1.8,0.02,11,2339
0,0,0,False,KRYSTIAN TOFILSKI,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,0,0.5,0.01,11,2338
-0.415126208,0,3,False,JAKUB SVEC,SŁOWACJA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,1,1.5,0,11,2337
1.868067937,-10,2,False,DAWID ŁĄCKI,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,1,0.6,0.01,11,2336
2.490757249,0,2,False,KACPER CHEŁMECKI,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,14,0.9,0.04,11,2335
1.245378624,10,4,False,PATRYK ZAUCHA,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,20,1.6,0,11,2334
1.660504833,0,3,False,BARTOSZ PIOTERCZAK,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,11,1.2,0.01,11,2332
1.245378624,0,3,False,KRYSTIAN LELEK,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,9,1.5,0,11,2331
2.905883457,-10,4,False,ADAM IMIELA,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,8,1.5,0,11,2330
